team1,team2,possession team1,possession team2,possession in contest,number of goals team1,number of goals team2,date,hour,category,total attempts team1,total attempts team2,conceded team1,conceded team2,goal inside the penalty area team1,goal inside the penalty area team2,goal outside the penalty area team1,goal outside the penalty area team2,assists team1,assists team2,on target attempts team1,on target attempts team2,off target attempts team1,off target attempts team2,attempts inside the penalty area team1,attempts inside the penalty area  team2,attempts outside the penalty area  team1,attempts outside the penalty area  team2,left channel team1,left channel team2,left inside channel team1,left inside channel team2,central channel team1,central channel team2,right inside channel team1,right inside channel team2,right channel team1,right channel team2,total offers to receive team1,total offers to receive team2,inbehind offers to receive team1,inbehind offers to receive team2,inbetween offers to receive team1,inbetween offers to receive team2,infront offers to receive team1,infront offers to receive team2,receptions between midfield and defensive lines team1,receptions between midfield and defensive lines team2,attempted line breaks team1,attempted line breaks team2,completed line breaksteam1,completed line breaks team2,attempted defensive line breaks team1,attempted defensive line breaks team2,completed defensive line breaksteam1,completed defensive line breaks team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2,fouls against team1,fouls against team2,offsides team1,offsides team2,passes team1,passes team2,passes completed team1,passes completed team2,crosses team1,crosses team2,crosses completed team1,crosses completed team2,switches of play completed team1,switches of play completed team2,corners team1,corners team2,free kicks team1,free kicks team2,penalties scored team1,penalties scored team2,goal preventions team1,goal preventions team2,own goals team1,own goals team2,forced turnovers team1,forced turnovers team2,defensive pressures applied team1,defensive pressures applied team2,Date,Goal Scored,Ball Possession %,Attempts,On-Target,Off-Target,Blocked,Corners,Offsides,Free Kicks,Saves,Pass Accuracy %,Passes,Distance Covered (Kms),Fouls Committed,Yellow Card,Yellow & Red,Red,Man of the Match,1st Goal,Round,PSO,Goals in PSO,Own goals,Own goal Time
PORTUGAL,URUGUAY,53%,35%,12%,2.0,0.0,28 NOV 2022,20 : 00,Group H,14.0,10.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,7.0,6.0,4.0,6.0,10.0,4.0,17.0,13.0,9.0,8.0,4.0,4.0,9.0,5.0,11.0,9.0,752.0,413.0,142.0,115.0,327.0,155.0,283.0,143.0,11.0,6.0,170.0,150.0,112.0,86.0,11.0,17.0,7.0,11.0,3.0,2.0,0.0,0.0,10.0,16.0,2.0,0.0,596.0,390.0,517.0,306.0,16.0,18.0,4.0,5.0,9.0,2.0,6.0,2.0,15.0,13.0,1.0,0.0,11.0,14.0,0.0,0.0,68.0,81.0,226.0,362.0,,,,,,,,,,,,,,,,,,,,,,,,,
NETHERLANDS,QATAR,54%,38%,8%,2.0,0.0,29 NOV 2022,16 : 00,Group A,13.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,5.0,2.0,10.0,2.0,3.0,4.0,25.0,10.0,9.0,7.0,8.0,5.0,11.0,4.0,21.0,6.0,785.0,574.0,157.0,100.0,322.0,245.0,306.0,229.0,16.0,11.0,185.0,161.0,165.0,107.0,13.0,15.0,10.0,10.0,1.0,0.0,0.0,0.0,19.0,9.0,4.0,0.0,795.0,459.0,740.0,394.0,11.0,16.0,1.0,4.0,1.0,10.0,4.0,2.0,9.0,24.0,0.0,0.0,5.0,14.0,0.0,0.0,62.0,52.0,319.0,322.0,,,,,,,,,,,,,,,,,,,,,,,,,
ECUADOR,SENEGAL,51%,32%,17%,1.0,2.0,29 NOV 2022,16 : 00,Group A,8.0,15.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0,5.0,3.0,8.0,5.0,11.0,3.0,4.0,13.0,14.0,3.0,0.0,1.0,2.0,6.0,7.0,6.0,10.0,453.0,268.0,83.0,76.0,174.0,115.0,196.0,77.0,2.0,12.0,146.0,153.0,77.0,84.0,10.0,20.0,2.0,12.0,0.0,1.0,0.0,0.0,23.0,11.0,0.0,3.0,432.0,269.0,353.0,198.0,19.0,20.0,6.0,5.0,1.0,6.0,3.0,6.0,14.0,22.0,0.0,1.0,15.0,8.0,0.0,0.0,59.0,62.0,190.0,243.0,,,,,,,,,,,,,,,,,,,,,,,,,
WALES,ENGLAND,33%,58%,10%,0.0,3.0,29 NOV 2022,20 : 00,Group B,7.0,17.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,7.0,3.0,6.0,1.0,13.0,6.0,4.0,7.0,10.0,1.0,4.0,2.0,7.0,0.0,12.0,4.0,9.0,388.0,777.0,71.0,140.0,138.0,310.0,179.0,327.0,1.0,9.0,104.0,167.0,55.0,131.0,4.0,13.0,1.0,8.0,2.0,0.0,0.0,0.0,16.0,9.0,1.0,1.0,325.0,588.0,261.0,529.0,4.0,17.0,1.0,7.0,1.0,6.0,1.0,6.0,10.0,17.0,0.0,0.0,17.0,8.0,0.0,0.0,49.0,56.0,328.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,,
IRAN,UNITED STATES,42%,45%,13%,0.0,1.0,29 NOV 2022,20 : 00,Group B,6.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,4.0,4.0,5.0,8.0,1.0,4.0,12.0,11.0,2.0,7.0,5.0,7.0,3.0,5.0,4.0,17.0,492.0,697.0,94.0,133.0,223.0,262.0,175.0,302.0,9.0,17.0,195.0,185.0,102.0,133.0,23.0,27.0,8.0,16.0,3.0,1.0,0.0,0.0,13.0,10.0,2.0,1.0,463.0,470.0,379.0,413.0,18.0,22.0,3.0,2.0,11.0,8.0,1.0,5.0,11.0,15.0,0.0,0.0,13.0,6.0,0.0,0.0,63.0,74.0,295.0,302.0,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRALIA,DENMARK,24%,60%,16%,1.0,0.0,30 NOV 2022,16 : 00,Group D,8.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,7.0,3.0,11.0,5.0,3.0,9.0,27.0,2.0,5.0,2.0,4.0,1.0,6.0,11.0,19.0,302.0,640.0,88.0,146.0,114.0,259.0,100.0,235.0,8.0,17.0,166.0,241.0,81.0,172.0,17.0,21.0,7.0,17.0,2.0,1.0,0.0,0.0,11.0,10.0,1.0,3.0,286.0,650.0,187.0,567.0,11.0,32.0,2.0,5.0,1.0,9.0,2.0,6.0,13.0,12.0,0.0,0.0,14.0,8.0,0.0,0.0,90.0,74.0,341.0,161.0,,,,,,,,,,,,,,,,,,,,,,,,,
TUNISIA,FRANCE,30%,56%,14%,1.0,0.0,30 NOV 2022,16 : 00,Group D,5.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,5.0,11.0,14.0,3.0,6.0,4.0,5.0,0.0,3.0,10.0,21.0,381.0,630.0,99.0,96.0,175.0,212.0,107.0,322.0,9.0,11.0,153.0,138.0,96.0,99.0,21.0,10.0,7.0,4.0,1.0,0.0,0.0,0.0,14.0,6.0,3.0,2.0,328.0,636.0,266.0,566.0,27.0,20.0,4.0,5.0,4.0,3.0,7.0,8.0,8.0,17.0,0.0,0.0,11.0,6.0,0.0,0.0,68.0,80.0,400.0,202.0,,,,,,,,,,,,,,,,,,,,,,,,,
POLAND,ARGENTINA,24%,67%,9%,0.0,2.0,30 NOV 2022,20 : 00,Group C,4.0,25.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,13.0,2.0,8.0,2.0,21.0,2.0,4.0,6.0,25.0,2.0,8.0,1.0,7.0,2.0,10.0,3.0,26.0,328.0,907.0,62.0,175.0,126.0,282.0,140.0,450.0,2.0,21.0,117.0,214.0,66.0,188.0,5.0,25.0,1.0,19.0,1.0,1.0,0.0,0.0,6.0,11.0,0.0,0.0,321.0,862.0,261.0,814.0,5.0,22.0,2.0,5.0,8.0,11.0,1.0,9.0,12.0,5.0,0.0,0.0,25.0,4.0,0.0,0.0,67.0,48.0,438.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,
SAUDI ARABIA,MEXICO,29%,55%,17%,1.0,2.0,30 NOV 2022,20 : 00,Group C,10.0,25.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,10.0,8.0,8.0,6.0,10.0,4.0,15.0,5.0,16.0,3.0,5.0,4.0,3.0,3.0,7.0,11.0,16.0,337.0,492.0,100.0,194.0,162.0,158.0,75.0,140.0,6.0,17.0,178.0,198.0,86.0,121.0,17.0,33.0,5.0,16.0,6.0,1.0,0.0,0.0,20.0,18.0,2.0,6.0,297.0,412.0,197.0,336.0,9.0,34.0,2.0,6.0,1.0,4.0,1.0,8.0,23.0,22.0,0.0,0.0,26.0,10.0,0.0,0.0,82.0,76.0,269.0,229.0,,,,,,,,,,,,,,,,,,,,,,,,,
CROATIA,BELGIUM,43%,47%,10%,0.0,0.0,01 DEC 2022,16 : 00,Group F,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,7.0,7.0,12.0,4.0,3.0,23.0,18.0,7.0,5.0,3.0,7.0,2.0,4.0,12.0,9.0,650.0,581.0,124.0,123.0,338.0,181.0,188.0,277.0,17.0,12.0,204.0,177.0,159.0,115.0,23.0,26.0,17.0,14.0,0.0,1.0,0.0,0.0,7.0,9.0,4.0,0.0,578.0,596.0,504.0,531.0,24.0,24.0,6.0,8.0,18.0,4.0,2.0,4.0,9.0,11.0,0.0,0.0,16.0,11.0,0.0,0.0,70.0,68.0,328.0,346.0,,,,,,,,,,,,,,,,,,,,,,,,,
CANADA,MOROCCO,52%,36%,12%,1.0,2.0,01 DEC 2022,16 : 00,Group F,5.0,7.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,2.0,4.0,4.0,1.0,3.0,22.0,6.0,4.0,0.0,2.0,3.0,6.0,4.0,11.0,5.0,703.0,493.0,189.0,78.0,211.0,227.0,303.0,188.0,8.0,8.0,153.0,147.0,91.0,85.0,21.0,16.0,8.0,7.0,4.0,0.0,0.0,0.0,14.0,14.0,4.0,4.0,539.0,384.0,472.0,308.0,20.0,7.0,4.0,1.0,3.0,14.0,6.0,2.0,18.0,18.0,0.0,0.0,7.0,7.0,0.0,1.0,66.0,72.0,224.0,324.0,,,,,,,,,,,,,,,,,,,,,,,,,
JAPAN,SPAIN,14%,78%,8%,2.0,1.0,01 DEC 2022,20 : 00,Group E,6.0,14.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,5.0,2.0,3.0,4.0,7.0,2.0,7.0,2.0,30.0,3.0,9.0,1.0,6.0,2.0,11.0,5.0,22.0,315.0,1138.0,77.0,174.0,106.0,286.0,132.0,678.0,10.0,17.0,104.0,190.0,57.0,140.0,14.0,21.0,8.0,15.0,3.0,0.0,0.0,0.0,9.0,6.0,2.0,2.0,225.0,1070.0,167.0,992.0,6.0,20.0,3.0,2.0,2.0,9.0,0.0,2.0,8.0,11.0,0.0,0.0,14.0,6.0,0.0,0.0,85.0,49.0,637.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,
COSTA RICA,GERMANY,27%,60%,13%,2.0,4.0,01 DEC 2022,20 : 00,Group E,8.0,32.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,4.0,6.0,11.0,1.0,17.0,6.0,24.0,2.0,8.0,7.0,29.0,5.0,13.0,3.0,13.0,1.0,12.0,1.0,15.0,344.0,747.0,100.0,217.0,156.0,272.0,88.0,258.0,10.0,28.0,154.0,193.0,103.0,159.0,13.0,34.0,7.0,25.0,1.0,0.0,0.0,0.0,3.0,9.0,4.0,3.0,347.0,727.0,269.0,661.0,12.0,38.0,3.0,12.0,4.0,5.0,1.0,14.0,12.0,7.0,0.0,0.0,32.0,8.0,0.0,0.0,79.0,77.0,378.0,230.0,,,,,,,,,,,,,,,,,,,,,,,,,
GHANA,URUGUAY,46%,39%,15%,0.0,2.0,02 DEC 2022,16 : 00,Group H,9.0,12.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,7.0,4.0,5.0,4.0,7.0,5.0,5.0,12.0,7.0,5.0,2.0,8.0,13.0,4.0,3.0,12.0,17.0,597.0,424.0,154.0,117.0,247.0,157.0,196.0,150.0,8.0,14.0,188.0,186.0,111.0,124.0,13.0,24.0,5.0,14.0,2.0,5.0,0.0,0.0,18.0,11.0,2.0,2.0,460.0,446.0,377.0,361.0,20.0,15.0,2.0,4.0,3.0,6.0,5.0,2.0,12.0,20.0,0.0,0.0,12.0,9.0,0.0,0.0,92.0,84.0,248.0,293.0,,,,,,,,,,,,,,,,,,,,,,,,,
KOREA REPUBLIC,PORTUGAL,34%,55%,11%,2.0,1.0,02 DEC 2022,16 : 00,Group H,12.0,12.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,6.0,4.0,4.0,6.0,6.0,5.0,6.0,7.0,9.0,23.0,7.0,7.0,5.0,5.0,2.0,8.0,7.0,12.0,470.0,740.0,93.0,159.0,186.0,195.0,191.0,386.0,8.0,12.0,139.0,178.0,87.0,123.0,11.0,21.0,6.0,12.0,2.0,0.0,0.0,0.0,9.0,11.0,1.0,5.0,359.0,606.0,304.0,541.0,13.0,22.0,3.0,6.0,9.0,11.0,5.0,4.0,15.0,10.0,0.0,0.0,14.0,12.0,0.0,0.0,54.0,50.0,359.0,233.0,,,,,,,,,,,,,,,,,,,,,,,,,
SERBIA,SWITZERLAND,45%,41%,14%,2.0,3.0,02 DEC 2022,20 : 00,Group G,11.0,14.0,3.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,4.0,7.0,6.0,3.0,10.0,10.0,1.0,4.0,17.0,14.0,6.0,7.0,4.0,3.0,4.0,1.0,10.0,12.0,577.0,456.0,92.0,108.0,214.0,193.0,271.0,155.0,7.0,10.0,157.0,157.0,95.0,95.0,10.0,20.0,5.0,8.0,7.0,4.0,0.0,0.0,18.0,13.0,0.0,0.0,476.0,403.0,390.0,325.0,23.0,13.0,6.0,4.0,7.0,9.0,2.0,0.0,14.0,18.0,0.0,0.0,14.0,10.0,0.0,0.0,74.0,82.0,276.0,253.0,,,,,,,,,,,,,,,,,,,,,,,,,
CAMEROON,BRAZIL,31%,56%,13%,1.0,0.0,02 DEC 2022,20 : 00,Group G,7.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,3.0,11.0,5.0,14.0,2.0,5.0,8.0,20.0,8.0,5.0,4.0,6.0,4.0,7.0,9.0,13.0,397.0,643.0,88.0,145.0,144.0,328.0,165.0,170.0,9.0,9.0,144.0,181.0,92.0,145.0,16.0,15.0,7.0,9.0,5.0,2.0,1.0,0.0,14.0,14.0,0.0,1.0,295.0,548.0,239.0,491.0,12.0,28.0,3.0,8.0,4.0,3.0,3.0,11.0,15.0,14.0,0.0,0.0,20.0,7.0,0.0,0.0,78.0,54.0,321.0,226.0,,,,,,,,,,,,,,,,,,,,,,,,,
NETHERLANDS,UNITED STATES,33%,54%,13%,3.0,1.0,03 DEC 2022,16 : 00,Round of 16,11.0,18.0,1.0,3.0,3.0,1.0,0.0,0.0,3.0,1.0,6.0,7.0,4.0,4.0,7.0,11.0,4.0,7.0,4.0,13.0,2.0,8.0,4.0,4.0,7.0,9.0,10.0,15.0,404.0,820.0,73.0,179.0,200.0,360.0,131.0,281.0,8.0,17.0,161.0,187.0,95.0,126.0,17.0,28.0,7.0,17.0,2.0,0.0,0.0,0.0,10.0,5.0,0.0,3.0,396.0,567.0,320.0,487.0,13.0,27.0,4.0,2.0,4.0,5.0,4.0,5.0,8.0,10.0,0.0,0.0,18.0,13.0,0.0,0.0,101.0,77.0,325.0,256.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,AUSTRALIA,53%,35%,12%,2.0,1.0,03 DEC 2022,20 : 00,Round of 16,14.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,7.0,2.0,11.0,3.0,3.0,2.0,15.0,8.0,6.0,1.0,11.0,2.0,2.0,6.0,17.0,9.0,869.0,538.0,131.0,105.0,337.0,184.0,401.0,249.0,8.0,8.0,181.0,146.0,135.0,92.0,16.0,12.0,8.0,7.0,0.0,2.0,0.0,0.0,8.0,15.0,4.0,0.0,711.0,450.0,635.0,381.0,6.0,15.0,1.0,2.0,5.0,8.0,1.0,3.0,15.0,11.0,0.0,0.0,5.0,14.0,1.0,0.0,67.0,73.0,240.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCE,POLAND,48%,42%,10%,3.0,1.0,04 DEC 2022,16 : 00,Round of 16,16.0,11.0,1.0,3.0,3.0,1.0,0.0,0.0,3.0,0.0,7.0,3.0,7.0,5.0,10.0,8.0,6.0,3.0,15.0,15.0,7.0,2.0,2.0,2.0,9.0,3.0,19.0,10.0,568.0,501.0,118.0,124.0,207.0,224.0,243.0,153.0,14.0,11.0,174.0,156.0,111.0,97.0,26.0,20.0,14.0,12.0,1.0,2.0,0.0,0.0,10.0,8.0,3.0,1.0,540.0,466.0,481.0,391.0,27.0,18.0,4.0,7.0,4.0,5.0,7.0,1.0,8.0,11.0,0.0,1.0,11.0,16.0,0.0,0.0,71.0,64.0,220.0,297.0,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAND,SENEGAL,54%,35%,11%,3.0,0.0,04 DEC 2022,20 : 00,Round of 16,8.0,10.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,2.0,4.0,6.0,7.0,4.0,1.0,6.0,17.0,8.0,6.0,1.0,2.0,0.0,2.0,4.0,13.0,9.0,794.0,489.0,140.0,95.0,276.0,193.0,378.0,201.0,11.0,7.0,184.0,159.0,129.0,86.0,16.0,15.0,12.0,7.0,0.0,1.0,0.0,0.0,16.0,12.0,0.0,0.0,597.0,393.0,523.0,320.0,19.0,13.0,7.0,3.0,11.0,7.0,3.0,3.0,12.0,16.0,0.0,0.0,10.0,8.0,0.0,0.0,60.0,74.0,230.0,339.0,,,,,,,,,,,,,,,,,,,,,,,,,
JAPAN,CROATIA,35%,51%,14%,1.0,1.0,05 DEC 2022,16 : 00,Round of 16,12.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,8.0,5.0,9.0,7.0,7.0,14.0,18.0,6.0,7.0,6.0,9.0,6.0,6.0,18.0,28.0,692.0,717.0,157.0,175.0,270.0,247.0,265.0,295.0,8.0,14.0,229.0,232.0,116.0,132.0,21.0,20.0,8.0,11.0,0.0,2.0,0.0,0.0,13.0,16.0,3.0,0.0,532.0,735.0,414.0,624.0,28.0,35.0,6.0,9.0,5.0,7.0,8.0,5.0,16.0,16.0,0.0,0.0,18.0,11.0,0.0,0.0,100.0,100.0,405.0,308.0,,,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,KOREA REPUBLIC,47%,44%,9%,4.0,1.0,05 DEC 2022,20 : 00,Round of 16,18.0,10.0,1.0,4.0,4.0,0.0,0.0,1.0,3.0,0.0,9.0,6.0,8.0,2.0,14.0,6.0,4.0,4.0,20.0,19.0,5.0,4.0,5.0,3.0,7.0,5.0,15.0,21.0,666.0,547.0,149.0,116.0,257.0,270.0,260.0,161.0,17.0,15.0,193.0,188.0,145.0,137.0,21.0,20.0,17.0,14.0,0.0,1.0,0.0,0.0,8.0,13.0,0.0,5.0,616.0,548.0,556.0,486.0,18.0,14.0,4.0,1.0,9.0,13.0,5.0,4.0,16.0,8.0,1.0,0.0,10.0,18.0,0.0,0.0,73.0,81.0,310.0,329.0,,,,,,,,,,,,,,,,,,,,,,,,,
MOROCCO,SPAIN,22%,68%,10%,0.0,0.0,06 DEC 2022,16 : 00,Round of 16,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,6.0,3.0,9.0,3.0,4.0,11.0,36.0,1.0,10.0,0.0,8.0,2.0,19.0,8.0,29.0,438.0,896.0,103.0,182.0,176.0,279.0,159.0,435.0,10.0,27.0,164.0,219.0,86.0,158.0,22.0,37.0,9.0,25.0,1.0,1.0,0.0,0.0,15.0,14.0,5.0,4.0,323.0,1041.0,229.0,967.0,10.0,27.0,4.0,4.0,4.0,8.0,0.0,8.0,18.0,20.0,0.0,0.0,14.0,6.0,0.0,0.0,100.0,66.0,573.0,217.0,,,,,,,,,,,,,,,,,,,,,,,,,
PORTUGAL,SWITZERLAND,43%,48%,9%,6.0,1.0,06 DEC 2022,20 : 00,Round of 16,14.0,10.0,1.0,6.0,6.0,1.0,0.0,0.0,5.0,0.0,9.0,1.0,2.0,7.0,9.0,5.0,5.0,5.0,8.0,18.0,3.0,2.0,6.0,6.0,6.0,2.0,8.0,8.0,614.0,617.0,134.0,115.0,241.0,240.0,239.0,262.0,9.0,8.0,165.0,167.0,98.0,107.0,16.0,17.0,8.0,7.0,0.0,2.0,0.0,0.0,12.0,10.0,3.0,3.0,461.0,512.0,392.0,436.0,14.0,15.0,6.0,1.0,7.0,3.0,6.0,6.0,13.0,15.0,0.0,0.0,10.0,15.0,0.0,0.0,71.0,54.0,357.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,
CROATIA,BRAZIL,45%,45%,10%,1.0,1.0,09 DEC 2022,16 : 00,Quarter-final,9.0,20.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,11.0,4.0,4.0,5.0,12.0,4.0,8.0,19.0,25.0,4.0,10.0,2.0,15.0,5.0,8.0,27.0,20.0,674.0,737.0,156.0,153.0,250.0,239.0,268.0,345.0,10.0,11.0,240.0,185.0,180.0,121.0,16.0,19.0,10.0,10.0,2.0,3.0,0.0,0.0,22.0,24.0,3.0,3.0,715.0,695.0,632.0,625.0,22.0,25.0,5.0,6.0,13.0,4.0,3.0,7.0,27.0,25.0,0.0,0.0,21.0,9.0,0.0,0.0,95.0,77.0,365.0,423.0,,,,,,,,,,,,,,,,,,,,,,,,,
NETHERLANDS,ARGENTINA,45%,44%,11%,2.0,2.0,09 DEC 2022,20 : 00,Quarter-final,5.0,15.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,6.0,2.0,8.0,3.0,5.0,2.0,10.0,11.0,7.0,7.0,7.0,9.0,13.0,3.0,6.0,15.0,17.0,722.0,644.0,117.0,97.0,278.0,278.0,327.0,269.0,5.0,7.0,194.0,203.0,130.0,122.0,15.0,24.0,6.0,8.0,8.0,8.0,1.0,0.0,30.0,18.0,1.0,2.0,651.0,603.0,557.0,511.0,22.0,16.0,4.0,4.0,5.0,4.0,2.0,8.0,20.0,30.0,0.0,1.0,15.0,5.0,0.0,0.0,91.0,79.0,401.0,323.0,,,,,,,,,,,,,,,,,,,,,,,,,
MOROCCO,PORTUGAL,22%,65%,13%,1.0,0.0,10 DEC 2022,16 : 00,Quarter-final,9.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,6.0,6.0,5.0,7.0,4.0,4.0,4.0,27.0,1.0,10.0,4.0,8.0,1.0,7.0,3.0,20.0,339.0,780.0,68.0,205.0,150.0,208.0,121.0,367.0,6.0,19.0,128.0,167.0,63.0,118.0,13.0,23.0,3.0,18.0,3.0,1.0,1.0,0.0,15.0,9.0,2.0,2.0,229.0,678.0,171.0,592.0,8.0,33.0,3.0,7.0,4.0,9.0,3.0,9.0,11.0,17.0,0.0,0.0,11.0,10.0,0.0,0.0,88.0,44.0,373.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAND,FRANCE,54%,36%,10%,1.0,2.0,10 DEC 2022,20 : 00,Quarter-final,14.0,9.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,6.0,5.0,4.0,3.0,6.0,6.0,8.0,3.0,17.0,15.0,6.0,2.0,4.0,7.0,2.0,2.0,10.0,13.0,661.0,401.0,127.0,84.0,312.0,136.0,222.0,181.0,8.0,7.0,147.0,136.0,108.0,87.0,13.0,14.0,10.0,8.0,1.0,3.0,0.0,0.0,10.0,14.0,1.0,2.0,508.0,369.0,453.0,310.0,22.0,13.0,5.0,6.0,5.0,2.0,5.0,2.0,14.0,11.0,1.0,0.0,9.0,15.0,0.0,0.0,49.0,54.0,193.0,308.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,CROATIA,34%,54%,12%,3.0,0.0,13 DEC 2022,20 : 00,Semi-final,10.0,12.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,2.0,7.0,7.0,6.0,3.0,6.0,8.0,18.0,9.0,6.0,7.0,7.0,3.0,4.0,2.0,8.0,349.0,643.0,89.0,136.0,122.0,291.0,138.0,216.0,7.0,3.0,147.0,182.0,91.0,129.0,17.0,9.0,7.0,1.0,2.0,2.0,0.0,0.0,15.0,8.0,1.0,0.0,408.0,624.0,344.0,551.0,8.0,20.0,2.0,4.0,4.0,8.0,2.0,4.0,6.0,16.0,1.0,0.0,12.0,10.0,0.0,0.0,85.0,63.0,321.0,260.0,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCE,MOROCCO,34%,55%,11%,2.0,0.0,14 DEC 2022,20 : 00,Semi-final,14.0,13.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,6.0,12.0,8.0,2.0,5.0,9.0,10.0,6.0,4.0,3.0,6.0,2.0,6.0,6.0,19.0,330.0,702.0,82.0,136.0,99.0,314.0,149.0,252.0,8.0,15.0,126.0,141.0,85.0,95.0,12.0,18.0,8.0,11.0,0.0,1.0,0.0,0.0,11.0,11.0,4.0,3.0,358.0,583.0,307.0,518.0,5.0,22.0,2.0,1.0,1.0,8.0,2.0,3.0,13.0,15.0,0.0,0.0,13.0,14.0,0.0,0.0,72.0,47.0,328.0,218.0,,,,,,,,,,,,,,,,,,,,,,,,,
CROATIA,MOROCCO,45%,45%,10%,2.0,1.0,17 DEC 2022,16 : 00,Play-off for third place,14.0,7.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,2.0,8.0,5.0,7.0,5.0,7.0,2.0,20.0,13.0,8.0,1.0,3.0,3.0,2.0,7.0,7.0,16.0,519.0,609.0,117.0,127.0,198.0,202.0,204.0,280.0,15.0,10.0,164.0,150.0,114.0,97.0,23.0,14.0,12.0,8.0,0.0,2.0,0.0,0.0,13.0,11.0,2.0,2.0,491.0,494.0,430.0,428.0,21.0,20.0,3.0,5.0,7.0,12.0,6.0,3.0,13.0,15.0,0.0,0.0,7.0,14.0,0.0,0.0,75.0,72.0,288.0,277.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,FRANCE,46%,40%,14%,3.0,3.0,18 DEC 2022,16 : 00,Final,21.0,10.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,9.0,5.0,9.0,3.0,10.0,7.0,11.0,3.0,13.0,15.0,6.0,7.0,8.0,5.0,9.0,4.0,9.0,12.0,607.0,507.0,146.0,105.0,257.0,207.0,204.0,195.0,43.0,10.0,223.0,163.0,151.0,99.0,38.0,14.0,23.0,9.0,4.0,3.0,0.0,0.0,26.0,19.0,4.0,4.0,648.0,516.0,544.0,419.0,20.0,24.0,4.0,3.0,6.0,5.0,6.0,5.0,22.0,28.0,1.0,2.0,11.0,21.0,0.0,0.0,87.0,104.0,280.0,409.0,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-06-2018,5.0,40.0,13.0,7.0,3.0,3.0,6.0,3.0,11.0,0.0,78.0,306.0,118.0,22.0,0.0,0.0,0.0,Yes,12.0,Group Stage,No,0.0,,
